"URL handle","Title","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","SKU","Price","Inventory tracker","Continue selling when out of stock","Fulfillment service","Requires shipping","Charge tax","Product image URL","Image position","Image alt text"
"bayley-currey-racing-t-shirt","Bayley Currey Racing T-Shirt","Black race tee with the official Bayley Currey roof-rail artwork in white and red.","Bayley Currey Racing","T-Shirt","bayley-currey,official-merch,2026","true","active","Size","S","BCR-TEE-S","30.00","","continue","manual","true","true","https://bayleycurreyracing.com/assets/merch-tee-studio.webp","1","Bayley Currey Racing T-Shirt design preview"
"bayley-currey-racing-t-shirt","","","","","","","active","Size","M","BCR-TEE-M","30.00","","continue","manual","true","true","","",""
"bayley-currey-racing-t-shirt","","","","","","","active","Size","L","BCR-TEE-L","30.00","","continue","manual","true","true","","",""
"bayley-currey-racing-t-shirt","","","","","","","active","Size","XL","BCR-TEE-XL","30.00","","continue","manual","true","true","","",""
"bayley-currey-racing-t-shirt","","","","","","","active","Size","2XL","BCR-TEE-2XL","30.00","","continue","manual","true","true","","",""
"bayley-currey-racing-t-shirt","","","","","","","active","Size","3XL","BCR-TEE-3XL","30.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hoodie","Bayley Currey Racing Hoodie","Black pullover hoodie with the official Bayley Currey roof-rail artwork in white and red.","Bayley Currey Racing","Hoodie","bayley-currey,official-merch,2026","true","active","Size","S","BCR-HOOD-S","40.00","","continue","manual","true","true","https://bayleycurreyracing.com/assets/merch-hoodie-studio.webp","1","Bayley Currey Racing Hoodie design preview"
"bayley-currey-racing-hoodie","","","","","","","active","Size","M","BCR-HOOD-M","40.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hoodie","","","","","","","active","Size","L","BCR-HOOD-L","40.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hoodie","","","","","","","active","Size","XL","BCR-HOOD-XL","40.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hoodie","","","","","","","active","Size","2XL","BCR-HOOD-2XL","40.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hoodie","","","","","","","active","Size","3XL","BCR-HOOD-3XL","40.00","","continue","manual","true","true","","",""
"bayley-currey-racing-hat","Bayley Currey Racing Hat","Black curved-brim cap with the official white and red BC monogram.","Bayley Currey Racing","Hat","bayley-currey,official-merch,2026","true","active","Size","One Size","BCR-HAT-ONE-SIZE","25.00","","continue","manual","true","true","https://bayleycurreyracing.com/assets/merch-hat-studio.webp","1","Bayley Currey Racing Hat design preview"
